,date,known variable,unknown / resultant variable / return if LONG,What to DO (Buy or Sell or HOLD),,
,Jul-13-2017,0.36%,0.15%,,,
,Jul-14-2017,0.15%,0.38%,,,
,Jul-17-2017,0.38%,-0.07%,,,
,Jul-18-2017,-0.07%,0.76%,,,
,Jul-19-2017,0.76%,0.31%,,,
,Jul-20-2017,0.31%,-0.10%,,,
,Jul-21-2017,-0.10%,0.36%,,,
,Jul-24-2017,0.36%,0.46%,,,
,Jul-25-2017,0.46%,0.07%,,,
,Jul-26-2017,0.07%,0.09%,,,
,Jul-27-2017,0.09%,-1.27%,,,
,Jul-28-2017,-1.27%,0.50%,,,
,Jul-31-2017,0.50%,-0.71%,,,
,Aug-1-2017,-0.71%,-0.13%,,,
,Aug-2-2017,-0.13%,-0.35%,,,
,Aug-3-2017,-0.35%,-0.51%,,,
,Aug-4-2017,-0.51%,-0.03%,,,
,Aug-7-2017,-0.03%,0.40%,,,
,Aug-8-2017,0.40%,0.03%,,,
,Aug-9-2017,0.03%,0.69%,,,
,Aug-10-2017,0.69%,-1.61%,,,
,Aug-11-2017,-1.61%,0.60%,,,
,Aug-14-2017,0.60%,0.51%,,,
,Aug-15-2017,0.51%,-0.12%,,,
,Aug-16-2017,-0.12%,-0.06%,,,
,Aug-17-2017,-0.06%,-1.69%,,,
,Aug-18-2017,-1.69%,-0.15%,,,
,Aug-21-2017,-0.15%,-0.11%,,,
,Aug-22-2017,-0.11%,0.99%,,,
,Aug-23-2017,0.99%,0.13%,,,
,Aug-24-2017,0.13%,-0.52%,,,
,Aug-25-2017,-0.52%,-0.57%,,,
,Aug-28-2017,-0.57%,-0.02%,,,
,Aug-29-2017,-0.02%,1.27%,,,
,Aug-30-2017,1.27%,1.08%,,,
,Aug-31-2017,1.08%,0.70%,,,
,Sep-1-2017,0.70%,-0.25%,,,
,Sep-5-2017,-0.25%,-0.59%,,,
,Sep-6-2017,-0.59%,0.04%,,,
,Sep-7-2017,0.04%,0.04%,,,
,Sep-8-2017,0.04%,-0.72%,,,
,Sep-11-2017,-0.72%,0.36%,,,
,Sep-12-2017,0.36%,-0.03%,,,
,Sep-13-2017,-0.03%,0.32%,,,
,Sep-14-2017,0.32%,-0.21%,,,
,Sep-15-2017,-0.21%,0.30%,,,
,Sep-18-2017,0.30%,-0.21%,,,
,Sep-19-2017,-0.21%,-0.01%,,,
,Sep-20-2017,-0.01%,-0.27%,,,
,Sep-21-2017,-0.27%,-0.55%,,,
,Sep-22-2017,-0.55%,0.24%,,,
,Sep-25-2017,0.24%,-0.65%,,,
,Sep-26-2017,-0.65%,-0.24%,,,
,Sep-27-2017,-0.24%,0.40%,,,
,Sep-28-2017,0.40%,0.19%,,,
,Sep-29-2017,0.19%,0.52%,,,
,Oct-2-2017,0.52%,-0.06%,,,
,Oct-3-2017,-0.06%,0.12%,,,
,Oct-4-2017,0.12%,0.30%,,,
,Oct-5-2017,0.30%,0.61%,,,
,Oct-6-2017,0.61%,0.44%,,,
,Oct-9-2017,0.44%,-0.26%,,,
,Oct-10-2017,-0.26%,-0.25%,,,
,Oct-11-2017,-0.25%,0.35%,,,
,Oct-12-2017,0.35%,-0.05%,,,
,Oct-13-2017,-0.05%,-0.03%,,,
,Oct-16-2017,-0.03%,0.10%,,,
,Oct-17-2017,0.10%,0.17%,,,
,Oct-18-2017,0.17%,-0.23%,,,
,Oct-19-2017,-0.23%,0.20%,,,
,Oct-20-2017,0.20%,-0.16%,,,
,Oct-23-2017,-0.16%,-0.85%,,,
,Oct-24-2017,-0.85%,0.02%,,,
,Oct-25-2017,0.02%,-0.20%,,,
,Oct-26-2017,-0.20%,-0.26%,,,
,Oct-27-2017,-0.26%,1.27%,,,
,Oct-30-2017,1.27%,0.33%,,,
,Oct-31-2017,0.33%,0.07%,,,
,Nov-1-2017,0.07%,-0.43%,,,
,Nov-2-2017,-0.43%,-0.07%,,,
,Nov-3-2017,-0.07%,0.56%,,,
,Nov-6-2017,0.56%,0.42%,,,
,Nov-7-2017,0.42%,0.14%,,,
,Nov-8-2017,0.14%,0.45%,,,
,Nov-9-2017,0.45%,0.27%,,,
,Nov-10-2017,0.27%,0.20%,,,
,Nov-13-2017,0.20%,0.48%,,,
,Nov-14-2017,0.48%,0.00%,,,
,Nov-15-2017,0.00%,-0.05%,,,
,Nov-16-2017,-0.05%,0.75%,,,
,Nov-17-2017,0.75%,-0.41%,,,
,Nov-20-2017,-0.41%,-0.17%,,,
,Nov-21-2017,-0.17%,0.63%,,,
,Nov-22-2017,0.63%,0.04%,,,
,Nov-27-2017,0.04%,-0.01%,,,
,Nov-28-2017,-0.01%,0.06%,,,
,Nov-29-2017,0.06%,-1.62%,,,
,Nov-30-2017,-1.62%,0.43%,,,
,Dec-1-2017,0.43%,0.21%,,,
,Dec-4-2017,0.21%,-1.76%,,,
,Dec-5-2017,-1.76%,0.09%,,,
,Dec-6-2017,0.09%,0.79%,,,
,Dec-7-2017,0.79%,0.36%,,,
,Dec-8-2017,0.36%,-0.25%,,,
,Dec-11-2017,-0.25%,0.74%,,,
,Dec-12-2017,0.74%,-0.08%,,,
,Dec-13-2017,-0.08%,-0.19%,,,
,Dec-14-2017,-0.19%,-0.26%,,,
,Dec-15-2017,-0.26%,0.72%,,,
