,date,known variable,unknown / resultant variable / return if LONG,What to DO (Buy or Sell or HOLD)
,Mar-12-2019,1.69%,0.30%,Buy
,Mar-13-2019,0.30%,0.24%,HOLD
,Mar-14-2019,0.24%,-0.23%,Buy
,Mar-15-2019,-0.23%,0.48%,HOLD
,Mar-18-2019,0.48%,0.26%,HOLD
,Mar-19-2019,0.26%,-0.07%,HOLD
,Mar-20-2019,-0.07%,0.41%,HOLD
,Mar-21-2019,0.41%,1.87%,HOLD
,Mar-22-2019,1.87%,-1.80%,HOLD
,Mar-25-2019,-1.80%,0.17%,HOLD
,Mar-26-2019,0.17%,-0.30%,HOLD
,Mar-27-2019,-0.30%,-0.71%,HOLD
,Mar-28-2019,-0.71%,-0.01%,Sell
,Mar-29-2019,-0.01%,0.08%,HOLD
,Apr-1-2019,0.08%,0.39%,HOLD
,Apr-2-2019,0.39%,0.29%,HOLD
,Apr-3-2019,0.29%,0.02%,HOLD
,Apr-4-2019,0.02%,-0.05%,HOLD
,Apr-5-2019,-0.05%,0.20%,Buy
,Apr-8-2019,0.20%,0.42%,HOLD
,Apr-9-2019,0.42%,-0.01%,HOLD
,Apr-10-2019,-0.01%,0.40%,HOLD
,Apr-11-2019,0.40%,-0.38%,HOLD
,Apr-12-2019,-0.38%,-0.01%,HOLD
,Apr-15-2019,-0.01%,0.04%,HOLD
,Apr-16-2019,0.04%,0.02%,HOLD
,Apr-17-2019,0.02%,-0.32%,HOLD
,Apr-18-2019,-0.32%,-0.06%,HOLD
,Apr-22-2019,-0.06%,0.77%,Sell
,Apr-23-2019,0.77%,1.02%,HOLD
,Apr-24-2019,1.02%,-0.39%,Buy
,Apr-25-2019,-0.39%,-0.39%,HOLD
,Apr-26-2019,-0.39%,0.24%,HOLD
,Apr-29-2019,0.24%,0.20%,HOLD
,Apr-30-2019,0.20%,0.04%,HOLD
,May-1-2019,0.04%,-1.01%,HOLD
,May-2-2019,-1.01%,-0.37%,HOLD
,May-3-2019,-0.37%,0.76%,Sell
,May-6-2019,0.76%,1.54%,HOLD
,May-7-2019,1.54%,-0.85%,HOLD
,May-8-2019,-0.85%,-0.03%,Buy
,May-9-2019,-0.03%,0.57%,HOLD
,May-10-2019,0.57%,0.52%,HOLD
,May-13-2019,0.52%,-0.97%,HOLD
,May-14-2019,-0.97%,0.55%,HOLD
,May-15-2019,0.55%,2.03%,HOLD
,May-16-2019,2.03%,0.98%,HOLD
,May-17-2019,0.98%,-0.03%,HOLD
,May-20-2019,-0.03%,-0.30%,HOLD
,May-21-2019,-0.30%,0.17%,HOLD
,May-22-2019,0.17%,0.13%,HOLD
,May-23-2019,0.13%,-0.41%,HOLD
,May-24-2019,-0.41%,-0.66%,HOLD
,May-28-2019,-0.66%,-0.65%,HOLD
,May-29-2019,-0.65%,-0.22%,Sell
,May-30-2019,-0.22%,0.14%,HOLD
,May-31-2019,0.14%,-0.46%,HOLD
,Jun-3-2019,-0.46%,-1.91%,HOLD
,Jun-4-2019,-1.91%,1.70%,Sell
,Jun-5-2019,1.70%,-0.20%,HOLD
,Jun-6-2019,-0.20%,0.61%,HOLD
,Jun-7-2019,0.61%,1.41%,HOLD
,Jun-10-2019,1.41%,0.49%,Buy
,Jun-11-2019,0.49%,-0.92%,Buy
,Jun-12-2019,-0.92%,-0.28%,HOLD
,Jun-13-2019,-0.28%,0.18%,HOLD
,Jun-14-2019,0.18%,0.10%,HOLD
,Jun-17-2019,0.10%,0.39%,HOLD
,Jun-18-2019,0.39%,0.30%,Buy
,Jun-19-2019,0.30%,0.21%,HOLD
,Jun-20-2019,0.21%,-0.47%,HOLD
,Jun-21-2019,-0.47%,0.04%,HOLD
,Jun-24-2019,0.04%,-0.20%,HOLD
,Jun-25-2019,-0.20%,-1.66%,HOLD
,Jun-26-2019,-1.66%,-0.19%,Sell
,Jun-27-2019,-0.19%,0.02%,Sell
,Jun-28-2019,0.02%,-0.11%,HOLD
,Jul-1-2019,-0.11%,-0.56%,HOLD
,Jul-2-2019,-0.56%,0.52%,HOLD
,Jul-5-2019,0.52%,0.50%,Sell
,Jul-8-2019,0.50%,-0.07%,HOLD
,Jul-9-2019,-0.07%,1.01%,HOLD
,Jul-10-2019,1.01%,0.40%,Buy
,Jul-11-2019,0.40%,-0.25%,HOLD
,Jul-12-2019,-0.25%,0.46%,Buy
,Jul-15-2019,0.46%,0.07%,HOLD
,Jul-16-2019,0.07%,-0.38%,HOLD
,Jul-17-2019,-0.38%,-0.52%,HOLD
,Jul-18-2019,-0.52%,0.64%,HOLD
,Jul-19-2019,0.64%,-1.51%,Buy
,Jul-22-2019,-1.51%,0.55%,Sell
,Jul-23-2019,0.55%,0.11%,HOLD
,Jul-24-2019,0.11%,1.08%,HOLD
,Jul-25-2019,1.08%,-0.63%,HOLD
,Jul-26-2019,-0.63%,0.38%,Buy
,Jul-29-2019,0.38%,-0.27%,Buy
,Jul-30-2019,-0.27%,0.33%,HOLD
,Jul-31-2019,0.33%,-1.61%,HOLD
,Aug-1-2019,-1.61%,-0.75%,HOLD
,Aug-2-2019,-0.75%,-0.41%,Sell
,Aug-6-2019,-0.41%,0.47%,Sell
,Aug-7-2019,0.47%,1.49%,HOLD
,Aug-8-2019,1.49%,1.69%,HOLD
,Aug-9-2019,1.69%,-0.45%,HOLD
,Aug-12-2019,-0.45%,-0.54%,Buy
,Aug-13-2019,-0.54%,2.25%,HOLD
,Aug-14-2019,2.25%,-1.40%,HOLD
,Aug-15-2019,-1.40%,-0.29%,HOLD
,Aug-16-2019,-0.29%,0.73%,Buy
,Aug-19-2019,0.73%,0.14%,HOLD
,Aug-20-2019,0.14%,-0.54%,HOLD
,Aug-21-2019,-0.54%,-0.01%,HOLD
,Aug-22-2019,-0.01%,-0.49%,HOLD
,Aug-23-2019,-0.49%,-2.47%,Sell
,Aug-26-2019,-2.47%,0.36%,HOLD
,Aug-27-2019,0.36%,-0.82%,Sell
,Aug-28-2019,-0.82%,0.69%,HOLD
,Aug-29-2019,0.69%,0.28%,Sell
,Aug-30-2019,0.28%,-0.75%,HOLD
,Sep-3-2019,-0.75%,-0.32%,HOLD
,Sep-4-2019,-0.32%,0.50%,HOLD
,Sep-5-2019,0.50%,0.75%,HOLD
,Sep-6-2019,0.75%,-0.22%,HOLD
,Sep-9-2019,-0.22%,-0.54%,Buy
,Sep-10-2019,-0.54%,0.29%,HOLD
,Sep-11-2019,0.29%,0.79%,HOLD
,Sep-12-2019,0.79%,-0.23%,HOLD
,Sep-16-2019,-0.23%,0.18%,HOLD
,Sep-17-2019,0.18%,0.44%,HOLD
,Sep-18-2019,0.44%,0.17%,HOLD
,Sep-19-2019,0.17%,-0.02%,HOLD
,Sep-20-2019,-0.02%,-1.18%,Buy
,Sep-23-2019,-1.18%,0.05%,HOLD
,Sep-24-2019,0.05%,-1.83%,Sell
,Sep-25-2019,-1.83%,1.21%,Sell
,Sep-26-2019,1.21%,-0.26%,HOLD
,Sep-27-2019,-0.26%,-1.34%,HOLD
,Sep-30-2019,-1.34%,0.55%,HOLD
,Oct-1-2019,0.55%,-1.23%,HOLD
,Oct-2-2019,-1.23%,-1.09%,HOLD
,Oct-3-2019,-1.09%,1.12%,HOLD
,Oct-4-2019,1.12%,1.02%,HOLD
,Oct-7-2019,1.02%,-0.01%,HOLD
,Oct-8-2019,-0.01%,-0.91%,HOLD
,Oct-9-2019,-0.91%,0.20%,HOLD
,Oct-10-2019,0.20%,0.74%,Buy
,Oct-11-2019,0.74%,0.12%,HOLD
,Oct-14-2019,0.12%,0.15%,HOLD
,Oct-15-2019,0.15%,0.98%,HOLD
,Oct-16-2019,0.98%,0.07%,HOLD
,Oct-17-2019,0.07%,-0.33%,HOLD
,Oct-18-2019,-0.33%,-0.85%,Buy
,Oct-21-2019,-0.85%,0.40%,HOLD
,Oct-22-2019,0.40%,-1.13%,HOLD
,Oct-23-2019,-1.13%,0.41%,Sell
,Oct-24-2019,0.41%,0.23%,Buy
,Oct-25-2019,0.23%,1.31%,HOLD
,Oct-28-2019,1.31%,0.52%,Buy
,Oct-29-2019,0.52%,-0.58%,Buy
,Oct-30-2019,-0.58%,0.26%,HOLD
,Oct-31-2019,0.26%,-0.27%,HOLD
,Nov-1-2019,-0.27%,0.47%,HOLD
,Nov-4-2019,0.47%,-0.05%,HOLD
,Nov-5-2019,-0.05%,-0.11%,HOLD
,Nov-6-2019,-0.11%,-0.12%,HOLD
,Nov-7-2019,-0.12%,-0.16%,HOLD
,Nov-8-2019,-0.16%,0.61%,HOLD
,Nov-11-2019,0.61%,0.35%,Sell
,Nov-12-2019,0.35%,0.19%,Buy
,Nov-13-2019,0.19%,0.26%,HOLD
,Nov-14-2019,0.26%,0.29%,HOLD
,Nov-15-2019,0.29%,0.05%,HOLD
,Nov-18-2019,0.05%,0.23%,HOLD
,Nov-19-2019,0.23%,-0.24%,HOLD
,Nov-20-2019,-0.24%,-0.36%,HOLD
,Nov-21-2019,-0.36%,-0.13%,HOLD
,Nov-22-2019,-0.13%,-0.17%,HOLD
,Nov-25-2019,-0.17%,0.78%,Sell
,Nov-26-2019,0.78%,0.14%,HOLD
,Nov-27-2019,0.14%,-0.23%,HOLD
,Dec-2-2019,-0.23%,-1.10%,Buy
,Dec-3-2019,-1.10%,0.54%,HOLD
,Dec-4-2019,0.54%,-0.04%,Sell
,Dec-5-2019,-0.04%,-0.18%,HOLD
,Dec-6-2019,-0.18%,0.34%,Sell
,Dec-9-2019,0.34%,-0.29%,Buy
,Dec-10-2019,-0.29%,-0.13%,Sell
,Dec-11-2019,-0.13%,0.33%,HOLD
,Dec-12-2019,0.33%,0.88%,HOLD
,Dec-13-2019,0.88%,0.39%,Buy
,Dec-16-2019,0.39%,0.32%,HOLD
,Dec-17-2019,0.32%,-0.10%,Buy
,Dec-18-2019,-0.10%,-0.08%,HOLD
,Dec-19-2019,-0.08%,0.59%,HOLD
,Dec-20-2019,0.59%,-0.02%,HOLD
,Dec-23-2019,-0.02%,-0.02%,HOLD
,Dec-26-2019,-0.02%,0.72%,HOLD
,Dec-27-2019,0.72%,-0.44%,HOLD
,Dec-30-2019,-0.44%,-0.63%,HOLD
,Dec-31-2019,-0.63%,0.45%,HOLD
,Jan-2-2020,0.45%,0.83%,HOLD
,Jan-3-2020,0.83%,0.42%,HOLD
,Jan-6-2020,0.42%,1.44%,HOLD
,Jan-7-2020,1.44%,-0.06%,HOLD
,Jan-8-2020,-0.06%,0.76%,HOLD
,Jan-9-2020,0.76%,0.05%,HOLD
,Jan-10-2020,0.05%,-0.61%,HOLD
,Jan-13-2020,-0.61%,0.75%,HOLD
,Jan-14-2020,0.75%,-0.29%,HOLD
,Jan-15-2020,-0.29%,0.00%,HOLD
,Jan-16-2020,0.00%,0.47%,HOLD
,Jan-17-2020,0.47%,0.09%,HOLD
,Jan-21-2020,0.09%,0.27%,HOLD
,Jan-22-2020,0.27%,-0.24%,HOLD
,Jan-23-2020,-0.24%,0.37%,HOLD
,Jan-24-2020,0.37%,-1.30%,HOLD
,Jan-27-2020,-1.30%,0.15%,HOLD
,Jan-28-2020,0.15%,0.83%,Sell
,Jan-29-2020,0.83%,-0.42%,HOLD
,Jan-30-2020,-0.42%,1.01%,HOLD
,Jan-31-2020,1.01%,-2.01%,HOLD
,Feb-3-2020,-2.01%,0.98%,HOLD
,Feb-4-2020,0.98%,0.90%,HOLD
,Feb-5-2020,0.90%,-0.86%,Buy
,Feb-6-2020,-0.86%,0.61%,Sell
,Feb-7-2020,0.61%,0.00%,Buy
,Feb-10-2020,0.00%,1.55%,HOLD
,Feb-11-2020,1.55%,-0.53%,HOLD
,Feb-12-2020,-0.53%,0.41%,HOLD
,Feb-13-2020,0.41%,0.57%,HOLD
,Feb-14-2020,0.57%,0.12%,HOLD
,Feb-18-2020,0.12%,0.54%,HOLD
,Feb-19-2020,0.54%,0.40%,HOLD
,Feb-20-2020,0.40%,-0.73%,HOLD
,Feb-21-2020,-0.73%,-1.43%,HOLD
,Feb-24-2020,-1.43%,-0.21%,HOLD
,Feb-25-2020,-0.21%,-3.47%,Sell
,Feb-26-2020,-3.47%,-0.11%,Sell
,Feb-27-2020,-0.11%,-2.58%,HOLD
,Feb-28-2020,-2.58%,3.91%,HOLD
,Mar-2-2020,3.91%,3.65%,Sell
,Mar-3-2020,3.65%,-3.46%,HOLD
,Mar-4-2020,-3.46%,2.29%,HOLD
,Mar-5-2020,2.29%,-0.52%,Buy
,Mar-6-2020,-0.52%,1.67%,Buy
,Mar-9-2020,1.67%,0.08%,Sell
,Mar-10-2020,0.08%,1.56%,Buy
,Mar-11-2020,1.56%,-2.00%,HOLD
,Mar-12-2020,-2.00%,-2.66%,HOLD
,Mar-13-2020,-2.66%,3.72%,Buy
,Mar-16-2020,3.72%,-2.56%,HOLD
,Mar-17-2020,-2.56%,3.77%,Sell
,Mar-18-2020,3.77%,2.80%,Buy
,Mar-19-2020,2.80%,1.14%,Buy
,Mar-20-2020,1.14%,-6.09%,HOLD
,Mar-23-2020,-6.09%,-0.20%,HOLD
,Mar-24-2020,-0.20%,2.16%,HOLD
,Mar-25-2020,2.16%,-1.24%,HOLD
,Mar-26-2020,-1.24%,4.54%,Sell
,Mar-27-2020,4.54%,-1.09%,HOLD
,Mar-30-2020,-1.09%,2.68%,Buy
,Mar-31-2020,2.68%,-0.59%,HOLD
,Apr-1-2020,-0.59%,-1.29%,HOLD
,Apr-2-2020,-1.29%,2.45%,HOLD
,Apr-3-2020,2.45%,-1.05%,HOLD
,Apr-6-2020,-1.05%,3.25%,HOLD
,Apr-7-2020,3.25%,-2.97%,HOLD
,Apr-8-2020,-2.97%,1.20%,HOLD
,Apr-9-2020,1.20%,-0.70%,HOLD
,Apr-13-2020,-0.70%,1.56%,HOLD
,Apr-14-2020,1.56%,2.26%,HOLD
,Apr-15-2020,2.26%,0.44%,HOLD
,Apr-16-2020,0.44%,0.76%,HOLD
,Apr-17-2020,0.76%,-0.35%,HOLD
,Apr-20-2020,-0.35%,-0.30%,HOLD
,Apr-21-2020,-0.30%,-2.79%,HOLD
,Apr-22-2020,-2.79%,0.92%,HOLD
,Apr-23-2020,0.92%,-0.58%,HOLD
,Apr-24-2020,-0.58%,1.48%,Sell
,Apr-27-2020,1.48%,-0.38%,HOLD
,Apr-28-2020,-0.38%,-2.66%,HOLD
,Apr-29-2020,-2.66%,1.17%,HOLD
,Apr-30-2020,1.17%,-0.39%,HOLD
,May-1-2020,-0.39%,-0.88%,HOLD
,May-4-2020,-0.88%,1.72%,Sell
,May-5-2020,1.72%,0.12%,HOLD
,May-6-2020,0.12%,-0.19%,HOLD
,May-7-2020,-0.19%,0.06%,Sell
,May-8-2020,0.06%,0.55%,Buy
,May-11-2020,0.55%,1.41%,HOLD
,May-12-2020,1.41%,-2.33%,Buy
,May-13-2020,-2.33%,-1.44%,HOLD
,May-14-2020,-1.44%,1.71%,Sell
,May-15-2020,1.71%,2.05%,HOLD
,May-18-2020,2.05%,0.54%,Sell
,May-19-2020,0.54%,-0.41%,Buy
,May-20-2020,-0.41%,0.82%,Buy
,May-21-2020,0.82%,-1.12%,Buy
,May-22-2020,-1.12%,0.51%,HOLD
,May-26-2020,0.51%,-1.78%,HOLD
,May-27-2020,-1.78%,0.78%,HOLD
,May-28-2020,0.78%,0.34%,HOLD
,May-29-2020,0.34%,1.06%,Sell
,Jun-1-2020,1.06%,0.77%,HOLD
,Jun-2-2020,0.77%,0.53%,Buy
,Jun-3-2020,0.53%,0.19%,HOLD
,Jun-4-2020,0.19%,-0.55%,HOLD
,Jun-5-2020,-0.55%,1.50%,HOLD
,Jun-8-2020,1.50%,0.89%,HOLD
,Jun-9-2020,0.89%,1.07%,HOLD
,Jun-10-2020,1.07%,0.49%,HOLD
,Jun-11-2020,0.49%,-3.36%,HOLD
,Jun-12-2020,-3.36%,-1.40%,HOLD
,Jun-15-2020,-1.40%,2.67%,HOLD
,Jun-16-2020,2.67%,-0.34%,Sell
,Jun-17-2020,-0.34%,-0.33%,HOLD
,Jun-18-2020,-0.33%,0.41%,HOLD
,Jun-19-2020,0.41%,-1.07%,HOLD
,Jun-22-2020,-1.07%,1.23%,HOLD
,Jun-23-2020,1.23%,0.14%,HOLD
,Jun-24-2020,0.14%,-1.70%,Buy
,Jun-25-2020,-1.70%,0.92%,HOLD
,Jun-26-2020,0.92%,-2.30%,HOLD
,Jun-29-2020,-2.30%,1.16%,Sell
,Jun-30-2020,1.16%,1.87%,HOLD
,Jul-1-2020,1.87%,1.14%,HOLD
,Jul-2-2020,1.14%,-0.34%,HOLD
,Jul-6-2020,-0.34%,1.16%,Buy
,Jul-7-2020,1.16%,-0.59%,Buy
,Jul-8-2020,-0.59%,0.76%,HOLD
,Jul-9-2020,0.76%,0.06%,HOLD
,Jul-10-2020,0.06%,0.81%,HOLD
,Jul-13-2020,0.81%,-3.13%,HOLD
,Jul-14-2020,-3.13%,1.69%,HOLD
,Jul-15-2020,1.69%,-0.34%,HOLD
,Jul-16-2020,-0.34%,0.39%,Sell
,Jul-17-2020,0.39%,-0.13%,HOLD
,Jul-20-2020,-0.13%,2.56%,HOLD
,Jul-21-2020,2.56%,-1.62%,Buy
,Jul-22-2020,-1.62%,0.18%,HOLD
,Jul-23-2020,0.18%,-2.49%,HOLD
,Jul-24-2020,-2.49%,0.52%,HOLD
,Jul-27-2020,0.52%,1.08%,Sell
,Jul-28-2020,1.08%,-1.01%,HOLD
,Jul-29-2020,-1.01%,0.58%,Sell
,Jul-30-2020,0.58%,1.30%,HOLD
,Jul-31-2020,1.30%,0.01%,Buy
,Aug-3-2020,0.01%,0.47%,HOLD
,Aug-4-2020,0.47%,0.62%,Buy
,Aug-5-2020,0.62%,0.09%,HOLD
,Aug-6-2020,0.09%,1.41%,HOLD
,Aug-7-2020,1.41%,-0.94%,HOLD
,Aug-10-2020,-0.94%,-0.54%,HOLD
,Aug-11-2020,-0.54%,-1.44%,HOLD
,Aug-12-2020,-1.44%,1.71%,HOLD
,Aug-13-2020,1.71%,-0.05%,HOLD
,Aug-14-2020,-0.05%,-0.29%,Sell
,Aug-17-2020,-0.29%,0.49%,HOLD
,Aug-18-2020,0.49%,0.56%,Buy
,Aug-19-2020,0.56%,-0.65%,HOLD
,Aug-20-2020,-0.65%,1.67%,HOLD
,Aug-21-2020,1.67%,0.62%,HOLD
,Aug-24-2020,0.62%,-0.54%,HOLD
,Aug-25-2020,-0.54%,1.07%,HOLD
,Aug-26-2020,1.07%,1.66%,HOLD
,Aug-27-2020,1.66%,-0.70%,HOLD
,Aug-28-2020,-0.70%,0.08%,HOLD
,Aug-31-2020,0.08%,0.63%,HOLD
,Sep-1-2020,0.63%,0.77%,HOLD
,Sep-2-2020,0.77%,-0.17%,HOLD
,Sep-3-2020,-0.17%,-3.70%,HOLD
,Sep-4-2020,-3.70%,-0.80%,HOLD
,Sep-8-2020,-0.80%,-0.83%,Sell
,Sep-9-2020,-0.83%,0.83%,HOLD
,Sep-10-2020,0.83%,-3.12%,Sell
,Sep-11-2020,-3.12%,-1.42%,HOLD
,Sep-14-2020,-1.42%,0.30%,HOLD
,Sep-15-2020,0.30%,0.05%,Sell
,Sep-16-2020,0.05%,-1.90%,HOLD
,Sep-17-2020,-1.90%,1.07%,HOLD
,Sep-18-2020,1.07%,-1.79%,HOLD
,Sep-21-2020,-1.79%,1.91%,HOLD
,Sep-22-2020,1.91%,0.87%,HOLD
,Sep-23-2020,0.87%,-2.97%,HOLD
,Sep-24-2020,-2.97%,1.46%,HOLD
,Sep-25-2020,1.46%,2.19%,HOLD
,Sep-28-2020,2.19%,0.16%,Buy
,Sep-29-2020,0.16%,-0.31%,HOLD
,Sep-30-2020,-0.31%,0.72%,HOLD
,Oct-1-2020,0.72%,0.15%,HOLD
,Oct-2-2020,0.15%,-0.62%,HOLD
,Oct-5-2020,-0.62%,1.45%,HOLD
,Oct-6-2020,1.45%,-1.51%,HOLD
,Oct-7-2020,-1.51%,0.82%,HOLD
,Oct-8-2020,0.82%,-0.30%,Buy
,Oct-9-2020,-0.30%,0.95%,Buy
,Oct-12-2020,0.95%,1.36%,HOLD
,Oct-13-2020,1.36%,-0.63%,HOLD
,Oct-14-2020,-0.63%,-1.10%,HOLD
,Oct-15-2020,-1.10%,0.97%,HOLD
,Oct-16-2020,0.97%,-1.16%,HOLD
,Oct-19-2020,-1.16%,-2.35%,HOLD
,Oct-20-2020,-2.35%,-0.03%,Sell
,Oct-21-2020,-0.03%,-0.17%,HOLD
,Oct-22-2020,-0.17%,-0.28%,Sell
,Oct-23-2020,-0.28%,0.01%,HOLD
,Oct-26-2020,0.01%,-0.72%,HOLD
,Oct-27-2020,-0.72%,0.42%,Sell
,Oct-28-2020,0.42%,-2.32%,HOLD
,Oct-29-2020,-2.32%,1.17%,HOLD
,Oct-30-2020,1.17%,-1.69%,HOLD
,Nov-2-2020,-1.69%,-0.61%,HOLD
,Nov-3-2020,-0.61%,1.03%,HOLD
,Nov-4-2020,1.03%,1.16%,HOLD
,Nov-5-2020,1.16%,0.29%,HOLD
,Nov-6-2020,0.29%,0.37%,HOLD
,Nov-9-2020,0.37%,-2.98%,Buy
,Nov-10-2020,-2.98%,-0.63%,HOLD
,Nov-11-2020,-0.63%,1.37%,Sell
,Nov-12-2020,1.37%,-0.78%,HOLD
,Nov-13-2020,-0.78%,0.37%,HOLD
,Nov-16-2020,0.37%,0.81%,HOLD
,Nov-17-2020,0.81%,-0.43%,HOLD
,Nov-18-2020,-0.43%,-0.56%,HOLD
,Nov-19-2020,-0.56%,0.95%,HOLD
,Nov-20-2020,0.95%,-0.68%,Buy
,Nov-23-2020,-0.68%,-0.36%,HOLD
,Nov-24-2020,-0.36%,1.04%,HOLD
,Nov-25-2020,1.04%,0.26%,HOLD
,Nov-30-2020,0.26%,0.03%,HOLD
,Dec-1-2020,0.03%,0.59%,HOLD
,Dec-2-2020,0.59%,0.54%,Buy
,Dec-3-2020,0.54%,0.04%,HOLD
,Dec-4-2020,0.04%,0.44%,Buy
,Dec-7-2020,0.44%,0.51%,HOLD
,Dec-8-2020,0.51%,0.47%,HOLD
,Dec-9-2020,0.47%,-2.17%,HOLD
,Dec-10-2020,-2.17%,1.08%,HOLD
,Dec-11-2020,1.08%,0.37%,HOLD
,Dec-14-2020,0.37%,0.25%,HOLD
,Dec-15-2020,0.25%,0.29%,Sell
,Dec-16-2020,0.29%,0.42%,Buy
,Dec-17-2020,0.42%,0.13%,HOLD
,Dec-18-2020,0.13%,-0.58%,HOLD
,Dec-21-2020,-0.58%,0.82%,HOLD
,Dec-22-2020,0.82%,-0.04%,HOLD
,Dec-23-2020,-0.04%,0.35%,HOLD
,Dec-28-2020,0.35%,0.13%,HOLD
,Dec-29-2020,0.13%,-0.37%,HOLD
,Dec-30-2020,-0.37%,-0.40%,HOLD
,Dec-31-2020,-0.40%,0.23%,HOLD
,Jan-4-2021,0.23%,-1.87%,HOLD
,Jan-5-2021,-1.87%,1.13%,Sell
,Jan-6-2021,1.13%,0.16%,HOLD
,Jan-7-2021,0.16%,1.53%,HOLD
,Jan-8-2021,1.53%,0.55%,HOLD
,Jan-11-2021,0.55%,-0.53%,Buy
,Jan-12-2021,-0.53%,-0.14%,HOLD
,Jan-13-2021,-0.14%,0.58%,HOLD
,Jan-14-2021,0.58%,-0.70%,HOLD
,Jan-15-2021,-0.70%,-0.71%,HOLD
,Jan-19-2021,-0.71%,0.70%,HOLD
,Jan-20-2021,0.70%,1.12%,HOLD
,Jan-21-2021,1.12%,0.41%,Sell
,Jan-22-2021,0.41%,0.05%,Buy
,Jan-25-2021,0.05%,-0.17%,HOLD
,Jan-26-2021,-0.17%,-0.08%,HOLD
,Jan-27-2021,-0.08%,-1.99%,HOLD
,Jan-28-2021,-1.99%,0.22%,HOLD
,Jan-29-2021,0.22%,-1.50%,Sell
,Feb-1-2021,-1.50%,1.36%,Sell
,Feb-2-2021,1.36%,0.71%,HOLD
,Feb-3-2021,0.71%,-1.06%,HOLD
,Feb-4-2021,-1.06%,0.74%,HOLD
,Feb-5-2021,0.74%,0.05%,HOLD
,Feb-8-2021,0.05%,0.15%,Sell
,Feb-9-2021,0.15%,0.26%,Buy
,Feb-10-2021,0.26%,-0.68%,HOLD
,Feb-11-2021,-0.68%,0.07%,HOLD
,Feb-12-2021,0.07%,0.81%,HOLD
,Feb-16-2021,0.81%,-0.52%,HOLD
,Feb-17-2021,-0.52%,0.45%,HOLD
,Feb-18-2021,0.45%,0.68%,HOLD
,Feb-19-2021,0.68%,-0.84%,Buy
,Feb-22-2021,-0.84%,-1.24%,HOLD
,Feb-23-2021,-1.24%,1.43%,HOLD
,Feb-24-2021,1.43%,1.67%,HOLD
,Feb-25-2021,1.67%,-2.68%,Buy
,Feb-26-2021,-2.68%,-0.47%,Sell
,Mar-1-2021,-0.47%,1.34%,HOLD
,Mar-2-2021,1.34%,-1.80%,HOLD
,Mar-3-2021,-1.80%,-2.56%,Sell
,Mar-4-2021,-2.56%,-1.52%,Sell
,Mar-5-2021,-1.52%,0.65%,HOLD
,Mar-8-2021,0.65%,-2.66%,HOLD
,Mar-9-2021,-2.66%,1.41%,HOLD
,Mar-10-2021,1.41%,-1.66%,HOLD
,Mar-11-2021,-1.66%,0.75%,HOLD
,Mar-12-2021,0.75%,0.52%,HOLD
,Mar-15-2021,0.52%,0.97%,HOLD
,Mar-16-2021,0.97%,-0.15%,HOLD
,Mar-17-2021,-0.15%,1.43%,HOLD
,Mar-18-2021,1.43%,-1.53%,Buy
,Mar-19-2021,-1.53%,0.47%,HOLD
,Mar-22-2021,0.47%,1.10%,HOLD
,Mar-23-2021,1.10%,-0.85%,HOLD
,Mar-24-2021,-0.85%,-2.16%,HOLD
,Mar-25-2021,-2.16%,0.44%,HOLD
,Mar-26-2021,0.44%,1.58%,Sell
,Mar-29-2021,1.58%,0.11%,HOLD
,Mar-30-2021,0.11%,0.17%,HOLD
,Mar-31-2021,0.17%,0.90%,HOLD
,Apr-1-2021,0.90%,0.46%,Buy
,Apr-5-2021,0.46%,1.21%,Buy
,Apr-6-2021,1.21%,0.01%,Buy
,Apr-7-2021,0.01%,0.39%,HOLD
,Apr-8-2021,0.39%,0.17%,HOLD
,Apr-9-2021,0.17%,1.02%,HOLD
,Apr-12-2021,1.02%,0.19%,HOLD
,Apr-13-2021,0.19%,0.71%,HOLD
,Apr-14-2021,0.71%,-1.28%,HOLD
,Apr-15-2021,-1.28%,0.62%,HOLD
,Apr-16-2021,0.62%,-0.05%,HOLD
,Apr-19-2021,-0.05%,-0.45%,HOLD
,Apr-20-2021,-0.45%,-0.56%,HOLD
,Apr-21-2021,-0.56%,1.26%,HOLD
,Apr-22-2021,1.26%,-1.09%,Sell
,Apr-23-2021,-1.09%,1.06%,HOLD
,Apr-26-2021,1.06%,0.58%,HOLD
,Apr-27-2021,0.58%,-0.54%,Buy
,Apr-28-2021,-0.54%,-0.31%,HOLD
,Apr-29-2021,-0.31%,-0.63%,HOLD
,Apr-30-2021,-0.63%,0.06%,HOLD
,May-3-2021,0.06%,-0.92%,Sell
,May-4-2021,-0.92%,-1.02%,HOLD
,May-5-2021,-1.02%,-0.99%,Sell
,May-6-2021,-0.99%,0.84%,HOLD
,May-7-2021,0.84%,-0.07%,Sell
,May-10-2021,-0.07%,-2.15%,HOLD
,May-11-2021,-2.15%,1.75%,HOLD
,May-12-2021,1.75%,-1.02%,HOLD
,May-13-2021,-1.02%,-0.18%,HOLD
,May-14-2021,-0.18%,1.15%,HOLD
,May-17-2021,1.15%,-0.05%,HOLD
,May-18-2021,-0.05%,-1.00%,HOLD
,May-19-2021,-1.00%,1.88%,HOLD
,May-20-2021,1.88%,1.46%,Buy
,May-21-2021,1.46%,-1.07%,HOLD
,May-24-2021,-1.07%,0.96%,HOLD
